{x=270,m=803,a=872,s=703}
{x=168,m=751,a=718,s=82}
{x=153,m=830,a=1600,s=1613}
{x=335,m=2651,a=45,s=535}
{x=1744,m=2707,a=2054,s=421}
{x=792,m=2226,a=694,s=2812}
{x=2839,m=2056,a=3184,s=1188}
{x=136,m=2452,a=76,s=610}
{x=917,m=1348,a=184,s=1413}
{x=1109,m=1790,a=648,s=1026}
{x=1397,m=450,a=1618,s=714}
{x=486,m=1721,a=1685,s=718}
{x=2719,m=106,a=910,s=447}
{x=623,m=1151,a=772,s=1053}
{x=977,m=493,a=1463,s=2396}
{x=499,m=270,a=3225,s=760}
{x=70,m=2583,a=2786,s=300}
{x=39,m=2807,a=3758,s=133}
{x=1875,m=2332,a=869,s=2285}
{x=2498,m=1034,a=2958,s=2313}
{x=412,m=596,a=1271,s=295}
{x=59,m=2215,a=3630,s=331}
{x=1357,m=240,a=630,s=15}
{x=48,m=1507,a=269,s=1936}
{x=394,m=844,a=923,s=660}
{x=227,m=436,a=2767,s=792}
{x=27,m=773,a=586,s=987}
{x=574,m=40,a=166,s=99}
{x=1818,m=379,a=1740,s=908}
{x=507,m=419,a=300,s=1289}
{x=241,m=1679,a=226,s=235}
{x=98,m=2248,a=1826,s=1645}
{x=1608,m=752,a=1752,s=1596}
{x=491,m=1129,a=780,s=2579}
{x=41,m=2383,a=1346,s=336}
{x=2266,m=755,a=248,s=29}
{x=610,m=378,a=533,s=1732}
{x=1681,m=935,a=2270,s=2267}
{x=2150,m=1331,a=1113,s=3004}
{x=689,m=261,a=1010,s=1711}
{x=991,m=225,a=1468,s=2326}
{x=18,m=1705,a=1963,s=664}
{x=28,m=546,a=2929,s=92}
{x=3391,m=440,a=1644,s=2483}
{x=859,m=1340,a=508,s=25}
{x=865,m=654,a=578,s=3020}
{x=1297,m=144,a=172,s=611}
{x=691,m=1975,a=1682,s=368}
{x=5,m=3220,a=1769,s=356}
{x=1974,m=1287,a=1944,s=215}
{x=345,m=421,a=2361,s=2440}
{x=1009,m=351,a=431,s=410}
{x=749,m=836,a=40,s=79}
{x=2735,m=2444,a=3141,s=813}
